消费电子,零配件,3D眼镜/VR眼镜,-,4.712761%,2.5452%,2.902042%,2.59844%,35.4%
消费电子,零配件,电池,电池组,0.8432479698%,0.3643525914%,0.179610222%,0.056225104%,22.19%
消费电子,零配件,电池,纽扣电池,1.0103608932%,0.5776817109%,0.3276525868%,1.695666856%,24.64%
消费电子,零配件,电池,电池,3.928114119%,1.9524693699%,1.2311464308%,1.433740152%,176.64%
消费电子,零配件,电池,燃料电池,0.0009604191%,0.0%,0.0%,0.0%,12.96%
消费电子,零配件,电池,其他电池,0.1229336448%,0.0426658239%,0.0087083744%,0.006171048%,43.83%
消费电子,零配件,电池,一次性电池,0.3294237513%,0.1652454132%,0.1268157022%,0.152904856%,38.73%
消费电子,零配件,电池,充电电池,4.9259895639%,3.7207307382%,3.2612862128%,3.392019384%,95.45%
消费电子,零配件,电池,太阳能电池,0.7760186328%,0.4794825924%,0.2617955054%,0.121363944%,9.05%
消费电子,零配件,电池,太阳能系统,0.3582363243%,0.189625884%,0.032656404%,0.010970752%,8.99%
消费电子,零配件,电池,蓄电池,0.067229337%,0.0237032355%,0.0119740148%,0.00342836%,5.06%
消费电子,零配件,电池收纳盒,-,0.931422%,0.589638%,0.16863%,0.86203%,37.07%
消费电子,零配件,空白磁带和卡带,-,0.05858%,0.023331%,0.009636%,0.00741%,16.36%
消费电子,零配件,CD包、CD盒,-,0.228462%,0.110292%,0.061028%,0.0988%,24.3%
消费电子,零配件,CD/DVD播放器箱包,-,0.041006%,0.012726%,0.001606%,0.0%,15.41%
消费电子,零配件,绕线器,-,0.752753%,0.409353%,0.126874%,0.60268%,29.11%
消费电子,零配件,相机背带,-,0.363196%,0.171801%,0.046574%,0.11362%,91.68%
消费电子,零配件,"照相机,摄像机包/袋",-,3.711043%,2.309769%,1.22056%,1.63514%,63.04%
消费电子,零配件,充电器,-,5.424508%,3.073329%,1.858142%,2.37861%,55.78%
消费电子,零配件,数码线材,音频/视频线,4.755032328%,2.9422944684%,2.1408185568%,4.820384075%,121.35%
消费电子,零配件,数码线材,数据线,2.9773923522%,1.3745505312%,0.3359906176%,1.397655675%,75.1%
消费电子,零配件,数码线材,数码产品充电线,0.3937331682%,0.1327690854%,0.0157028256%,0.03617315%,30.34%
消费电子,零配件,插线板/电插头/插头转换,-,1.549441%,0.880215%,0.419166%,0.91637%,52.25%
消费电子,零配件,MP3/MP4播放器保护套,-,0.161095%,0.061509%,0.017666%,0.02717%,17.76%
