美容健康,彩妆,脸部彩妆,高光/阴影,2.1874320384%,1.03562464%,0.7526410335%,0.49077468%,30.3904501248%
美容健康,彩妆,脸部彩妆,底妆,1.9929419776%,0.8573881888%,0.439511094%,0.307071864%,26.3624933472%
美容健康,美甲用品及修甲工具,美甲艺术,底油,0.79103728%,0.3410489628%,0.0535036672%,0.0904679244%,8.390184375%
美容健康,彩妆,唇部彩妆,唇线笔,2.41718592%,1.1984638541%,0.2275386438%,0.5130983106%,16.6421724816%
美容健康,彩妆,化妆工具/附件,眉模具,2.88965376%,1.4043924093%,0.2096202054%,0.7233066432%,28.0279361382%
美容健康,美甲用品及修甲工具,美甲艺术,水晶粉,0.52320576%,0.2419407172%,0.1698159872%,0.2347858038%,65.3881734375%
美容健康,彩妆,唇部彩妆,唇彩,5.768717952%,3.4246448552%,2.1389823819%,2.3717283336%,36.5642932672%
美容健康,彩妆,眼部彩妆,底妆/遮瑕,0.5991784832%,0.185862173%,0.0267045%,0.0443921184%,22.7673181518%
美容健康,美甲用品及修甲工具,美甲艺术,多功能底油盖油,0.23824548%,0.0787036068%,0.02907808%,0.0366179694%,34.4901890625%
美容健康,彩妆,脸部彩妆,遮瑕,4.3926858752%,2.4702372992%,1.5248255445%,2.18822472%,69.76360032%
美容健康,成人用品,安全/避孕,润滑剂,2.4585930864%,1.1591412288%,0.30385539%,0.312542%,29.0979614306%
美容健康,美甲用品及修甲工具,美甲艺术,盖油,0.23668832%,0.0757886584%,0.0186099712%,0.0280019766%,32.1791203125%
美容健康,彩妆,眼部彩妆,眉粉/眉笔/眉膏,4.2713306624%,2.149128992%,0.70019199%,1.6417156644%,58.3530277137%
美容健康,护肤品,手部护理,洗手液,0.035029566%,0.0097157412%,0.0012171456%,0.00323661%,22.5634026096%
美容健康,美甲用品及修甲工具,美甲艺术,指甲胶,5.74124892%,4.7499084178%,5.734197376%,7.0478821104%,138.0612375%
美容健康,彩妆,眼部彩妆,眼线,4.7759561088%,2.706715511%,0.73437375%,2.2695470532%,71.7728473245%
美容健康,头发护理/造型,造型工具,扁梳/圆梳（婴儿用的请发布到婴儿梳子下）,1.6485854532%,0.83850858%,0.318202962%,0.311052859%,45.590679288%
美容健康,头发护理/造型,造型工具,烘发筒,0.4058503554%,0.11922456%,0.017120382%,0.0241025252%,30.6434132928%
美容健康,头发护理/造型,造型工具,围巾婴儿用的请发布到婴儿理发围布下）,0.8552884578%,0.4414683%,0.102131934%,0.117255528%,49.4059259232%
美容健康,美甲用品及修甲工具,美甲艺术,彩色指甲油,3.23422132%,1.9952821798%,0.9374772992%,1.6715026032%,71.8692140625%
美容健康,彩妆,眼部彩妆,闪粉,0.1274410496%,0.0367038745%,0.00320454%,0.0055490148%,40.3246739385%
美容健康,美甲用品及修甲工具,修甲工具,死皮推,1.6065753%,0.870314823%,0.122609848%,0.4675517446%,73.532886138%
美容健康,美甲用品及修甲工具,修甲工具,指甲锉,2.14549566%,1.334256966%,0.4637537192%,0.9087148958%,160.457958292%
美容健康,健康保健,家用健康监测器,血糖仪,0.331334388%,0.1278310815%,0.1115082045%,0.0266006616%,25.012848476%
美容健康,彩妆,化妆工具/附件,眉钳,1.4280973056%,0.5921993394%,0.0831454446%,0.2645919522%,56.5049929356%
美容健康,彩妆,化妆工具/附件,化妆扑,3.718528128%,1.950214692%,0.5468862342%,1.6367472018%,69.8663325468%
美容健康,彩妆,化妆工具/附件,睫毛胶,1.4874112512%,0.6718727445%,0.2435810208%,0.352346067%,74.5399944066%
美容健康,彩妆,身体彩妆,身体彩绘,1.7234370304%,0.612731106%,0.2871402768%,0.1544333661%,20.9409784106%
美容健康,护肤品,防晒/助晒,身体美黑,0.1020790896%,0.03128787%,0.0149889528%,0.00584987%,22.6129858758%
美容健康,头发护理/造型,造型工具,编发工具,1.9556369154%,0.89362182%,0.135191982%,0.327338349%,63.9281511792%
美容健康,头发护理/造型,造型用品,发蜡,0.297290982%,0.0980873635%,0.026147772%,0.016198195%,40.7180665584%
美容健康,美甲用品及修甲工具,修甲工具,打孔器,2.14734762%,1.2130224498%,0.8359106696%,0.4357501064%,103.442588384%
美容健康,头发护理/造型,造型工具,造型发卷（不带电、普通型）,1.0131729636%,0.48533394%,0.071433318%,0.1048785556%,62.3595484512%
美容健康,护肤品,手部护理,指甲护理,0.243294678%,0.0579882204%,0.0351540288%,0.050443445%,10.3518230859%
美容健康,美甲用品及修甲工具,修甲工具,指甲刀（婴儿的请发布到婴儿指甲剪下）,1.35285678%,0.7131840534%,0.1024152848%,0.2733587624%,92.5623500184%
美容健康,美甲用品及修甲工具,修甲工具,美甲指托,1.0741368%,0.4592011284%,0.0786145496%,0.1738940642%,78.8926814136%
