家具和室内装饰品,儿童家具,儿童床,-,21.32%,22.18%,7.42%,0.0%,33.72%
家具和室内装饰品,儿童家具,儿童柜,-,13.3%,11.89%,0.57%,0.0%,42.86%
家具和室内装饰品,儿童家具,儿童椅,-,25.66%,23.77%,23.17%,16.67%,37.16%
家具和室内装饰品,儿童家具,儿童家具套装,-,39.85%,38.33%,53.25%,0.0%,229.4%
家具和室内装饰品,儿童家具,儿童桌,-,13.59%,11.5%,0.0%,0.0%,19.83%
家具和室内装饰品,儿童家具,其它儿童家具,-,26.02%,22.41%,15.59%,66.67%,88.97%
家具和室内装饰品,商用家具,酒吧家具,-,51.77%,53.28%,56.17%,40.0%,212.49%
家具和室内装饰品,商用家具,酒店家具,-,11.7%,9.08%,0.0%,0.0%,35.44%
家具和室内装饰品,商用家具,实验室家具,-,4.5%,3.34%,0.4%,0.0%,11.2%
家具和室内装饰品,商用家具,图书馆家具,-,1.71%,1.12%,0.0%,0.0%,10.08%
家具和室内装饰品,商用家具,其它商用家具,-,22.91%,18.35%,11.7%,0.0%,86.05%
家具和室内装饰品,商用家具,饭店家具，餐馆家具,-,7.33%,5.64%,0.0%,0.0%,11.72%
家具和室内装饰品,商用家具,沙龙家具,-,22.13%,20.5%,19.27%,40.0%,13.2%
家具和室内装饰品,商用家具,学校家具,-,10.46%,9.13%,12.05%,0.0%,76.24%
家具和室内装饰品,商用家具,影剧院礼堂家具,-,0.68%,0.45%,0.42%,0.0%,30.06%
家具和室内装饰品,商用家具,等待坐椅,-,2.72%,1.79%,0.0%,0.0%,26.49%
家具和室内装饰品,家具附件,-,-
家具和室内装饰品,家具部件,（坐具类）机械伸展装置,-,12.48%,8.53%,3.3%,0.0%,37.57%
家具和室内装饰品,家具部件,家具构架,-,9.53%,7.84%,5.25%,2.17%,86.72%
家具和室内装饰品,家具部件,家具腿脚,-,45.52%,54.01%,51.57%,67.39%,147.62%
家具和室内装饰品,家具部件,其它家具部件,-,22.8%,17.93%,10.93%,15.22%,114.05%
家具和室内装饰品,家具部件,转盘,-,27.63%,22.29%,28.94%,15.22%,42.94%
家具和室内装饰品,家用，民用家具,浴室家具,-,5.08%,3.32%,2.65%,6.78%,73.2%
家具和室内装饰品,家用，民用家具,卧室家具,-,28.92%,25.68%,13.51%,11.86%,92.42%
家具和室内装饰品,家用，民用家具,餐厅家具,-,22.5%,17.49%,13.32%,3.39%,106.11%
家具和室内装饰品,家用，民用家具,厨房家具,-,4.28%,2.89%,0.67%,3.39%,73.27%
